gene	a	c	d	f	g	h	i	j	m	n
a	NA	0.462	1.624	1.102	1.345	1.031	0.718	2.111	1.57	1.164
c	0.462	NA	1.339	0.925	0.636	1.23	0.79	0.595	0.936	1.298
d	1.624	1.339	NA	1.108	1.346	2.158	0.505	3.266	3.289	0.848
f	1.102	0.925	1.108	NA	2.401	2.304	0.731	0.87	1.61	1.29
g	1.345	0.636	1.346	2.401	NA	1.38	0.556	0.786	1.267	0.954
h	1.031	1.23	2.158	2.304	1.38	NA	1.01	1.498	1.633	1.675
i	0.718	0.79	0.505	0.731	0.556	1.01	NA	0.447	0.569	1.036
j	2.111	0.595	3.266	0.87	0.786	1.498	0.447	NA	4.108	0.299
m	1.57	0.936	3.289	1.61	1.267	1.633	0.569	4.108	NA	0.996
n	1.164	1.298	0.848	1.29	0.954	1.675	1.036	0.299	0.996	NA
