i	j	coef	lm.p	lm.q	pos.ratio.q
f	d	0.034	0.233191072806265	0.42395258311841	0.8234
f	h	0.134	0.0851270606132711	0.281754303673994	0.0566
f	n	0.027	0.226040072887699	0.42395258311841	0.5302
f	i	-0.045	0.49290744716289	0.672146518858486	0.7621
f	g	0.1515	0.0800212433688019	0.281754303673994	0.0304
f	j	-0.002	0.552786404500042	0.71072537721434	1
f	m	0.135	0.0634705322019531	0.274602394187443	0.054
f	c	-0.0374999999999999	0.123091866709498	0.327591178721671	0.8629
f	a	0.0325	0.443997480677788	0.614765742476937	0.8629
d	f	0.00499999999999999	0.379826327053958	0.567087682382963	0.8234
d	h	0.1795	0.0154697922358729	0.257292588994378	0
d	n	-0.005	0.773195394186743	0.85084094780327	0.7356
d	i	-0.145	0.0420221719750808	0.263166827779878	0
d	g	0.0679999999999999	0.261436533623715	0.452486308194892	0.0006
d	j	0.0085	0.169495653131746	0.350292772704967	0.2157
d	m	0.2705	0.0314468719882018	0.257292588994378	0
d	c	0.0785	0.024581271814659	0.257292588994378	0.0011
d	a	0.0495	0.126149260502607	0.327591178721671	0.0003
h	f	0.02	0.103778570103558	0.301292622881298	0.0566
h	d	0.1795	0.00435527031555014	0.257292588994378	0
h	n	0.049	0.06407389197707	0.274602394187443	0.0003
h	i	-0.0035000000000001	0.912575098519666	0.944518287571173	0.9481
h	g	0.0589999999999999	0.332427108485844	0.534257852923677	0.0144
h	j	0.005	0.21913119055697	0.42395258311841	0.5123
h	m	0.126	0.126599097185991	0.327591178721671	0
h	c	0.0545	0.0399735607291932	0.263166827779878	0.0231
h	a	0.00949999999999999	0.657810374406574	0.822262968008218	0.8817
n	f	0.0105	0.150430936234129	0.338054430338558	0.5302
n	d	-0.015	0.69520756070939	0.832837566880006	0.7356
n	h	0.1215	0.0283031221462099	0.257292588994378	0.0003
n	i	0.00899999999999997	0.775210641331868	0.85084094780327	0.8715
n	g	-0.000999999999999911	0.986054504051345	0.99713376814181	0.8629
n	j	-0.003	0.732738758087575	0.834765673770656	0.7255
n	m	0.0175	0.695398713893572	0.832837566880006	1
n	c	0.0315	0.291866582160876	0.480987686337318	0.9857
n	a	0.022	0.384359429170675	0.567087682382963	0.5326
i	f	-0.0065	0.364908440630159	0.566237235460592	0.7621
i	d	-0.1445	0.02147398842425	0.257292588994378	0
i	h	-0.00299999999999997	0.913034344652133	0.944518287571173	0.9481
i	n	0.004	0.804119157250243	0.861556239910975	0.8715
i	g	-0.1395	0.0999578534392142	0.301292622881298	0
i	j	-0.0055	0.256688883760565	0.452486308194892	0.7621
i	m	-0.135	0.0862721797607705	0.281754303673994	0
i	c	-0.056	0.0531566693804575	0.263166827779878	0.0088
i	a	-0.057	0.147065863451494	0.338054430338558	0.0073
g	f	0.023	0.0679929667559261	0.278153045819698	0.0304
g	d	0.0674999999999999	0.0243739229442673	0.257292588994378	0.0006
g	h	0.059	0.131036471488668	0.327591178721671	0.0144
g	n	0.00000000000000000173472347597681	1	1	0.8629
g	i	-0.139	0.0555574414201964	0.263166827779878	0
g	j	0.0015	0.770584266129438	0.85084094780327	0.7315
g	m	0.039	0.526428329810311	0.686645647578667	0.2556
g	c	-0.0974999999999999	0.0292979751677113	0.257292588994378	0
g	a	0.0295	0.2328599841695	0.42395258311841	0.0859
j	f	-0.00500000000000001	0.35981560033552	0.566237235460592	1
j	d	0.1655	0.142507189384868	0.337517027490476	0.2157
j	h	0.0915	0.0439007185709066	0.263166827779878	0.5123
j	n	-0.0235	0.712746346607528	0.832837566880006	0.7255
j	i	-0.1105	0.406794234921901	0.572054392858923	0.7621
j	g	0.0175	0.886912459579008	0.939083780730714	0.7315
j	m	0.22	0.154002573820899	0.338054430338558	0.0144
j	c	-0.075	0.235529212843561	0.42395258311841	0.7172
j	a	0.031	0.712246635178575	0.832837566880006	0.3061
m	f	0.0215	0.0821933643184209	0.281754303673994	0.054
m	d	0.267	0.0126876560711327	0.257292588994378	0
m	h	0.125	0.0502462961850731	0.263166827779878	0
m	n	0.0075	0.679834894529681	0.832837566880006	1
m	i	-0.1335	0.0240839557510565	0.257292588994378	0
m	g	0.0385	0.512882573334285	0.678815170589494	0.2556
m	j	0.012	0.0876568944763535	0.281754303673994	0.0144
m	c	-0.00399999999999995	0.798226691077875	0.861556239910975	0.7289
m	a	0.053	0.12974314492854	0.327591178721671	0.0003
c	f	-0.0065	0.293936919428361	0.480987686337318	0.8629
c	d	0.0819999999999999	0.0393409710153114	0.263166827779878	0.0011
c	h	0.0565	0.136246158782528	0.33140957541696	0.0231
c	n	0.012	0.500433463453824	0.672224055385734	0.9857
c	i	-0.0585	0.171254244433539	0.350292772704967	0.0088
c	g	-0.1025	0.158215580856548	0.339033387549746	0
c	j	-0.004	0.403715206000056	0.572054392858923	0.7172
c	m	-0.00399999999999992	0.9367860458759	0.958076637827625	0.7289
c	a	-0.0705	0.102674989044359	0.301292622881298	0
a	f	0.0095	0.374607382257199	0.567087682382963	0.8629
a	d	0.0945	0.0230568421973753	0.257292588994378	0.0003
a	h	0.017	0.609066257654466	0.772055819562	0.8817
a	n	0.016	0.395688340319602	0.572054392858923	0.5326
a	i	-0.1035	0.050288837915107	0.263166827779878	0.0073
a	g	0.0555	0.271422000392398	0.460905283685204	0.0859
a	j	0.0025	0.721792557962672	0.832837566880006	0.3061
a	m	0.1	0.193600830706838	0.387201661413676	0.0003
a	c	-0.1285	0.0804229062683133	0.281754303673994	0
