# pos.ratio_Spleen_rep1_RNA_counts_pos.ratio_bin
i	j	dp.expected	dp.obs	pos.ratio	enrich	p	dn	ipjn	injp	dp	jp.in.in	jp.in.ip	q
f	f	9.109688080975	210	Inf	NA	NA	4631	0	0	210	0	1	NA
f	d	122.373476554431	131	1.197	1.07	0.2246	1941	79	2690	131	0.581	0.624	0.3061
f	h	122.243338153274	138	1.395	1.129	0.0264	1951	72	2680	138	0.579	0.657	0.0566
f	n	25.2034703573642	31	1.285	1.23	0.2313	4081	179	550	31	0.119	0.148	0.3061
f	i	123.457963230737	121	0.951	0.98	0.7207	1906	89	2725	121	0.588	0.576	0.7621
f	g	99.4691179508366	117	1.419	1.176	0.0135	2455	93	2176	117	0.47	0.557	0.0304
f	j	3.38359843007643	3	0.88	0.887	1	4556	207	75	3	0.016	0.014	1
f	m	104.32761826069	136	1.913	1.304	0	2362	74	2269	136	0.49	0.648	0
f	c	80.7725676513117	69	0.775	0.854	0.0953	2838	141	1793	69	0.387	0.329	0.1787
f	a	35.5711629828548	46	1.398	1.293	0.0593	3857	164	774	46	0.167	0.219	0.116
d	f	122.373476554431	131	1.197	1.07	0.2246	1941	2690	79	131	0.039	0.046	0.3061
d	d	1643.88370171452	2821	Inf	NA	NA	2020	0	0	2821	0	1	NA
d	h	1642.13550919232	1843	2.02	1.122	0	1045	978	975	1843	0.483	0.653	0
d	n	338.566618467259	344	1.045	1.016	0.6539	1783	2477	237	344	0.117	0.122	0.7356
d	i	1658.45197273291	1513	0.596	0.912	0	687	1308	1333	1513	0.66	0.536	0
d	g	1336.20181780624	1412	1.296	1.057	0	1139	1409	881	1412	0.436	0.501	0
d	j	45.45300557736	52	1.44	1.144	0.1342	1994	2769	26	52	0.013	0.018	0.2157
d	m	1401.4676719686	1701	2.839	1.214	0	1316	1120	704	1701	0.349	0.603	0
d	c	1085.04482544929	1191	1.469	1.098	0	1349	1630	671	1191	0.332	0.422	0
d	a	477.839289403016	528	1.363	1.105	0.0001	1728	2293	292	528	0.145	0.187	0.0003
h	f	122.243338153274	138	1.395	1.129	0.0264	1951	2680	72	138	0.036	0.049	0.0566
h	d	1642.13550919232	1843	2.02	1.122	0	1045	975	978	1843	0.483	0.654	0
h	h	1640.38917579013	2818	Inf	NA	NA	2023	0	0	2818	0	1	NA
h	n	338.206568890725	400	1.684	1.183	0	1842	2418	181	400	0.089	0.142	0
h	i	1656.6882875439	1647	0.967	0.994	0.5739	824	1171	1199	1647	0.593	0.584	0.7174
h	g	1334.78083040694	1382	1.175	1.035	0.0061	1112	1436	911	1382	0.45	0.49	0.0144
h	j	45.4046684569304	52	1.444	1.145	0.1338	1997	2766	26	52	0.013	0.018	0.2157
h	m	1399.97727742202	1555	1.699	1.111	0	1173	1263	850	1555	0.42	0.552	0
h	c	1083.8909316257	1155	1.293	1.066	0	1316	1663	707	1155	0.349	0.41	0
h	a	477.331129931832	495	1.113	1.037	0.1741	1698	2323	325	495	0.161	0.176	0.2556
n	f	25.2034703573642	31	1.285	1.23	0.2313	4081	550	179	31	0.042	0.053	0.3061
n	d	338.566618467259	344	1.045	1.016	0.6539	1783	237	2477	344	0.581	0.592	0.7356
n	h	338.206568890725	400	1.684	1.183	0	1842	181	2418	400	0.568	0.688	0
n	n	69.7296013220409	581	Inf	NA	NA	4260	0	0	581	0	1	NA
n	i	341.56703160504	347	1.045	1.016	0.6533	1761	234	2499	347	0.587	0.597	0.7356
n	g	275.197892997315	280	1.038	1.017	0.6903	2247	301	2013	280	0.473	0.482	0.7576
n	j	9.36128898987812	11	1.208	1.175	0.5965	4193	570	67	11	0.016	0.019	0.7255
n	m	288.639743854575	307	1.155	1.064	0.1113	2162	274	2098	307	0.492	0.528	0.1926
n	c	223.470770501962	224	1.004	1.002	0.9638	2622	357	1638	224	0.385	0.386	0.9857
n	a	98.4135509192316	111	1.183	1.128	0.1406	3551	470	709	111	0.166	0.191	0.2182
i	f	123.457963230737	121	0.951	0.98	0.7207	1906	2725	89	121	0.045	0.043	0.7621
i	d	1658.45197273291	1513	0.596	0.912	0	687	1333	1308	1513	0.656	0.532	0
i	h	1656.6882875439	1647	0.967	0.994	0.5739	824	1199	1171	1647	0.587	0.579	0.7174
i	n	341.56703160504	347	1.045	1.016	0.6533	1761	2499	234	347	0.117	0.122	0.7356
i	i	1673.14934930799	2846	Inf	NA	NA	1995	0	0	2846	0	1	NA
i	g	1348.04337946705	1187	0.575	0.881	0	889	1659	1106	1187	0.554	0.417	0
i	j	45.8558149142739	44	0.906	0.96	0.7282	1961	2802	34	44	0.017	0.015	0.7621
i	m	1413.88762652345	1257	0.584	0.889	0	847	1589	1148	1257	0.575	0.442	0
i	c	1094.66060731254	1028	0.787	0.939	0.0001	1161	1818	834	1028	0.418	0.361	0.0003
i	a	482.07395166288	397	0.602	0.824	0	1572	2449	423	397	0.212	0.139	0
g	f	99.4691179508366	117	1.419	1.176	0.0135	2455	2176	93	117	0.036	0.051	0.0304
g	d	1336.20181780624	1412	1.296	1.057	0	1139	881	1409	1412	0.553	0.616	0
g	h	1334.78083040694	1382	1.175	1.035	0.0061	1112	911	1436	1382	0.564	0.603	0.0144
g	n	275.197892997315	280	1.038	1.017	0.6903	2247	2013	301	280	0.118	0.122	0.7576
g	i	1348.04337946705	1187	0.575	0.881	0	889	1106	1659	1187	0.651	0.518	0
g	g	1086.10803552985	2293	Inf	NA	NA	2548	0	0	2293	0	1	NA
g	j	36.9456723817393	44	1.447	1.191	0.1108	2514	2249	34	44	0.013	0.019	0.1926
g	m	1139.1582317703	1163	1.082	1.021	0.1761	1306	1130	1242	1163	0.487	0.507	0.2556
g	c	881.959512497418	771	0.677	0.874	0	1457	1522	1091	771	0.428	0.336	0
g	a	388.403222474695	415	1.169	1.068	0.042	2143	1878	405	415	0.159	0.181	0.0859
j	f	3.38359843007643	3	0.88	0.887	1	4556	75	207	3	0.043	0.038	1
j	d	45.4530055773601	52	1.44	1.144	0.1342	1994	26	2769	52	0.581	0.667	0.2157
j	h	45.4046684569304	52	1.444	1.145	0.1338	1997	26	2766	52	0.581	0.667	0.2157
j	n	9.36128898987812	11	1.208	1.175	0.5965	4193	67	570	11	0.12	0.141	0.7255
j	i	45.8558149142739	44	0.906	0.96	0.7282	1961	34	2802	44	0.588	0.564	0.7621
j	g	36.9456723817393	44	1.447	1.191	0.1108	2514	34	2249	44	0.472	0.564	0.1926
j	j	1.25676513117125	78	Inf	NA	NA	4763	0	0	78	0	1	NA
j	m	38.7502582111134	51	1.933	1.316	0.0059	2409	27	2354	51	0.494	0.654	0.0144
j	c	30.0012394133444	27	0.845	0.9	0.5578	2928	51	1835	27	0.385	0.346	0.7172
