name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	193	1	0	0.031	0.969	134.016	-62.601	-0.42
rescue_2872	TRUE	14	0	0	0	1	149.786	-67.143	-0.001
rescue_2873	FALSE	51741	0.999	0.082	0.346	0.572	120.422	918.794	-0.497
rescue_2873	TRUE	227	0.441	0	0.273	0.727	110.912	202.352	-0.032
rescue_2874	FALSE	109	0.908	0	0	1	127.183	-40.844	-0.282
rescue_2874	TRUE	446	0.036	0	0.036	0.964	137.93	-43.422	-0.003
rescue_2875	FALSE	70	0.971	0	0	1	142.1	-90.714	-0.307
rescue_2875	TRUE	222	0.036	0	0.027	0.973	134.36	-40.351	-0.006
rescue_2876	FALSE	77	0.948	0	0	1	124.922	-18.545	-0.303
rescue_2876	TRUE	121	0.231	0	0.182	0.818	138.132	13.182	-0.008
rescue_2877	FALSE	8	1	0	0	1	87	-49.5	-0.458
rescue_2877	TRUE	164	0	0	0	1	128.28	-10.378	-0.004
rescue_2878	FALSE	37	1	0	0.054	0.946	124.541	-20.081	-0.394
rescue_2878	TRUE	71	0.028	0	0	1	132.507	-65.859	-0.004
rescue_2879	FALSE	2180	0.996	0	0.047	0.953	119.474	-57.079	-0.438
rescue_2879	TRUE	891	0.002	0	0.002	0.998	127.066	-39.15	-0.003
rescue_2880	FALSE	61	0.967	0	0.033	0.967	116.295	-49.246	-0.397
rescue_2880	TRUE	88	0.045	0	0.068	0.932	139.25	22.989	-0.004
rescue_2881	FALSE	50	0.94	0	0.04	0.96	118.6	-77.26	-0.376
rescue_2881	TRUE	113	0.035	0	0.053	0.947	134.513	-34.867	-0.004
rescue_2882	FALSE	251	0.984	0	0.016	0.984	140.92	-38.853	-0.344
rescue_2882	TRUE	42	0.048	0	0.048	0.952	127.929	-116.405	-0.009
rescue_2883	FALSE	156	0.603	0.474	0	0.526	62.353	-60.128	-0.497
rescue_2883	TRUE	32	0	0	0	1	141.188	59.594	-0.001
rescue_2884	FALSE	192	1	0.052	0.5	0.448	80.594	-50.323	-0.422
rescue_2884	TRUE	21	0.286	0	0.286	0.714	103.429	11.19	-0.011
rescue_2885	FALSE	66	1	0	0.03	0.97	131.136	-66.636	-0.327
rescue_2885	TRUE	42	0.048	0	0	1	130.762	23.786	-0.008
rescue_3810	FALSE	1759	0.994	0.376	0.404	0.22	53.377	-22.239	-0.382
rescue_3810	TRUE	15	0.533	0	0.533	0.467	98.533	7.467	-0.053
rescue_3811	FALSE	91	1	0	0	1	133.615	-45.692	-0.292
rescue_3811	TRUE	27	0.074	0	0.222	0.778	131.556	-84.778	-0.001
