name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	16	0	0	0	1	130.375	-155.125	-0.017
rescue_2873	FALSE	31	1	0	0	1	113.645	516.226	-0.051
rescue_2873	TRUE	245	0.261	0	0.359	0.641	105	147.286	-0.018
rescue_2874	FALSE	5	1	0	0	1	125.2	-232.2	-0.074
rescue_2874	TRUE	281	0.014	0	0.028	0.972	138.142	-21.395	-0.003
rescue_2875	FALSE	9	1	0	0	1	110.444	21.444	-0.089
rescue_2875	TRUE	158	0.013	0	0.025	0.975	137.741	-19.582	-0.003
rescue_2876	FALSE	7	1	0	0	1	126	64.857	-0.05
rescue_2876	TRUE	73	0.137	0	0.274	0.726	119.849	-37.041	-0.002
rescue_2877	TRUE	158	0	0	0	1	139.215	32.209	-0.006
rescue_2878	TRUE	69	0	0	0	1	127.565	-108.681	-0.002
rescue_2879	FALSE	2	1	0	0	1	51	-51	-0.098
rescue_2879	TRUE	757	0	0	0	1	130.811	-31.074	-0.003
rescue_2880	FALSE	23	1	0	0	1	122.174	81.783	-0.061
rescue_2880	TRUE	166	0.12	0	0.169	0.831	130.235	-2.114	-0.003
rescue_2881	FALSE	16	1	0	0	1	110	-91.25	-0.069
rescue_2881	TRUE	186	0.108	0	0.151	0.849	129.909	-34.237	-0.003
rescue_2882	TRUE	51	0	0	0	1	124.843	-77.137	-0.002
rescue_2883	TRUE	50	0	0	0	1	128.44	-18.54	-0.004
rescue_2884	TRUE	45	0.267	0	0.267	0.733	113.311	8.156	-0.005
rescue_2885	TRUE	29	0	0	0	1	142.138	-51.448	-0.001
rescue_3810	TRUE	167	0.012	0	0.012	0.988	128.641	66.299	-0.007
rescue_3811	FALSE	7	1	0	0	1	128	-104.143	-0.071
rescue_3811	TRUE	235	0.051	0	0.145	0.855	127.46	-55.515	-0.006
