name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	127	1	0	0.016	0.984	133.748	-58.26	-0.432
rescue_2872	TRUE	12	0	0	0	1	150	27.417	-0.007
rescue_2873	FALSE	48213	0.998	0.082	0.321	0.597	124.031	947.067	-0.501
rescue_2873	TRUE	209	0.33	0	0.268	0.732	115.182	194.919	-0.023
rescue_2874	FALSE	126	0.944	0	0.095	0.905	121.063	-53.151	-0.302
rescue_2874	TRUE	342	0.026	0	0.029	0.971	137.442	-15.816	-0.004
rescue_2875	FALSE	78	0.974	0	0	1	143.051	-37.769	-0.32
rescue_2875	TRUE	104	0.087	0	0	1	134.75	-53.99	-0.012
rescue_2876	FALSE	57	1	0.035	0	0.965	125.702	-2.386	-0.323
rescue_2876	TRUE	112	0.214	0	0.214	0.786	132.571	-16.652	-0.013
rescue_2877	FALSE	17	0.882	0	0	1	95.294	-40.529	-0.449
rescue_2877	TRUE	89	0	0	0	1	133.708	6.506	-0.002
rescue_2878	FALSE	34	1	0	0	1	109.176	-72.529	-0.335
rescue_2878	TRUE	54	0.074	0	0.074	0.926	132	-70.037	-0.003
rescue_2879	FALSE	1970	0.994	0	0.03	0.97	118.736	-55.747	-0.437
rescue_2879	TRUE	758	0.005	0	0.003	0.997	127.059	-37.029	-0.002
rescue_2880	FALSE	101	1	0	0.059	0.941	138.228	-31.465	-0.269
rescue_2880	TRUE	193	0.176	0	0.187	0.813	125.891	3.756	-0.007
rescue_2881	FALSE	103	1	0	0.058	0.942	136.427	-27.854	-0.276
rescue_2881	TRUE	225	0.156	0	0.16	0.84	128.582	-52.422	-0.008
rescue_2882	FALSE	134	0.985	0	0	1	138.769	-33.112	-0.365
rescue_2882	TRUE	50	0	0	0	1	135.4	-69.86	-0.004
rescue_2883	FALSE	112	0.625	0.518	0	0.482	62.223	-59.589	-0.499
rescue_2883	TRUE	37	0	0	0	1	118.622	-56.703	-0.001
rescue_2884	FALSE	116	1	0	0.483	0.517	83.526	-29.319	-0.42
rescue_2884	TRUE	43	0.186	0	0.186	0.814	124.558	-11.023	-0.004
rescue_2885	FALSE	55	1	0	0	1	134.182	-66.273	-0.327
rescue_2885	TRUE	28	0.071	0	0.143	0.857	102.5	-77.464	-0.01
rescue_3810	FALSE	1299	0.971	0.242	0.379	0.38	57.675	-19.129	-0.348
rescue_3810	TRUE	180	0.022	0	0.022	0.978	130.211	37.089	-0.009
rescue_3811	FALSE	121	0.967	0	0.099	0.901	134.298	-59.653	-0.264
rescue_3811	TRUE	188	0.202	0	0.149	0.851	132.324	-48.585	-0.014
