chr	start	end	tpm	pct	strand	cap.B6_Ly49Dn_mRNA	cap.B6_Ly49Dn_terminator	cap.B6_Ly49Dp_mRNA	cap.B6_Ly49Dp_terminator	max	min
chr1	10037951	10037954	132.13720855673	0.620103626943005	-	0.904040404040404	0.943396226415094	0.947826086956522	0.868421052631579	0.947826086956522	0.868421052631579
chr1	10038215	10038217	94.7888983344703	0.539481865284974	+	0.990384615384615	0.953846153846154	1	0.87037037037037	1	0.87037037037037
chr1	10039772	10039772	53.0446808555835	0.381761658031088	+	0.65625	0.972972972972973	0.87037037037037	0.903225806451613	0.972972972972973	0.65625
chr1	105455961	105455961	33.1870292452626	0.255336787564767	+	1	1	1	0.941176470588235	1	0.941176470588235
chr1	105663870	105663910	78.3185039983431	0.493264248704663	+	0.720720720720721	0.830882352941177	0.65	0.783018867924528	0.830882352941177	0.65
chr1	106712436	106712436	6.28297382816333	0.0327461139896373	-	0.833333333333333	0.833333333333333	1	1	1	0.833333333333333
chr1	106714005	106714007	195.643229630294	0.705284974093264	-	0.7125	0.916666666666667	0.903474903474903	0.8875	0.916666666666667	0.7125
chr1	106796625	106796678	362.844682477921	0.810777202072539	-	0.756989247311828	0.737254901960784	0.764397905759162	0.698492462311558	0.764397905759162	0.698492462311558
chr1	118311170	118311216	245.975651599969	0.751295336787565	-	0.692015209125475	0.774869109947644	0.816666666666667	0.737430167597765	0.816666666666667	0.692015209125475
chr1	118321834	118321872	195.933916889007	0.705492227979275	+	0.878048780487805	0.959770114942529	0.911538461538462	0.915384615384615	0.959770114942529	0.878048780487805
chr1	119713137	119713186	277.795410690378	0.772020725388601	-	0.985815602836879	0.939716312056738	0.923387096774194	0.926070038910506	0.985815602836879	0.923387096774194
chr1	120121017	120121017	25.9436956771703	0.203730569948187	-	1	0.96875	1	0.80952380952381	1	0.80952380952381
chr1	125435422	125435432	88.5246053493263	0.521450777202073	-	0.865979381443299	0.844155844155844	0.828125	0.782608695652174	0.865979381443299	0.782608695652174
chr1	125435492	125435552	506.980979563104	0.852849740932643	-	0.779513888888889	0.788273615635179	0.813380281690141	0.808510638297872	0.813380281690141	0.779513888888889
chr1	127205013	127205018	69.7619470872408	0.460725388601036	+	0.307692307692308	0.826086956521739	0.90625	0.910714285714286	0.910714285714286	0.307692307692308
chr1	127774202	127774216	128.334145338977	0.612642487046632	+	0.580645161290323	0.613138686131387	0.691489361702128	0.705263157894737	0.705263157894737	0.580645161290323
chr1	127868794	127868802	135.30547463258	0.626528497409326	+	0.900763358778626	0.96875	0.934640522875817	0.96551724137931	0.96875	0.900763358778626
chr1	128244148	128244313	1971.4262286289	0.964974093264249	+	0.764831412718737	0.749128919860627	0.78372935964559	0.756302521008403	0.78372935964559	0.749128919860627
chr1	128244409	128244419	63.24880582381	0.431709844559585	+	0.907407407407407	0.953488372093023	0.921875	0.933333333333333	0.953488372093023	0.907407407407407
chr1	128359652	128359683	199.787786456749	0.708186528497409	-	0.873076923076923	0.850467289719626	0.797619047619048	0.846846846846847	0.873076923076923	0.797619047619048
chr1	128417300	128417359	132.208302510605	0.620518134715026	-	0.676470588235294	0.772413793103448	0.74251497005988	0.771739130434783	0.772413793103448	0.676470588235294
chr1	128606082	128606082	46.5205080816148	0.346943005181347	+	0.823529411764706	0.9	1	1	1	0.823529411764706
chr1	130462701	130462731	137.926296598538	0.62880829015544	-	1	0.957142857142857	0.942675159235669	0.94	1	0.94
chr1	131153196	131153213	44.9796868117849	0.334093264248705	+	0.774193548387097	0.9375	0.96	0.75	0.96	0.75
chr1	131200111	131200172	334.298279124647	0.79979274611399	-	0.855029585798817	0.910652920962199	0.855371900826446	0.836538461538462	0.910652920962199	0.836538461538462
chr1	131279521	131279563	85.8964920413528	0.514818652849741	-	0.927710843373494	0.837837837837838	1	0.872727272727273	1	0.837837837837838
chr1	131638289	131638289	22.8516553261485	0.183212435233161	+	1	1	1	0.9	1	0.9
chr1	131867266	131867266	33.7376066745515	0.258860103626943	+	1	0.88	0.96	0.933333333333333	1	0.88
chr1	132007612	132007613	75.7785760887021	0.484352331606218	+	0	0	0	0	0	0
chr1	133025336	133025383	606.360733862396	0.875025906735751	-	0.769961977186312	0.807317073170732	0.722222222222222	0.806122448979592	0.807317073170732	0.722222222222222
chr1	133610265	133610265	12.9956896161809	0.100621761658031	-	1	0.947368421052632	1	1	1	0.947368421052632
chr1	133661371	133661380	159.513604117986	0.659481865284974	-	0.930379746835443	0.925373134328358	0.945652173913043	0.941176470588235	0.945652173913043	0.925373134328358
chr1	133689918	133689939	185.764686825376	0.694715025906736	-	0.496240601503759	0.682795698924731	0.75	0.640845070422535	0.75	0.496240601503759
chr1	133690011	133690011	13.6629467781034	0.107564766839378	-	1	0.777777777777778	1	0.888888888888889	1	0.777777777777778
chr1	133690067	133690108	56.4162509864468	0.395854922279793	-	0.876712328767123	0.901639344262295	1	0.7	1	0.7
chr1	134079116	134079120	992.541648972886	0.921036269430052	-	0.872416891284816	0.81795195954488	0.801705756929638	0.806691449814126	0.872416891284816	0.801705756929638
chr1	134361941	134361958	71.7954818825799	0.469015544041451	-	0.895522388059702	0.904761904761905	0.945454545454545	0.954545454545455	0.954545454545455	0.895522388059702
chr1	134415469	134415484	165.640486394817	0.66839378238342	+	0.964285714285714	0.934426229508197	0.960227272727273	0.935064935064935	0.964285714285714	0.934426229508197
chr1	134560182	134560223	97.7542465245766	0.546321243523316	+	0.833333333333333	0.946902654867257	0.944444444444444	0.95959595959596	0.95959595959596	0.833333333333333
chr1	134955928	134955928	48.9304981107823	0.358963730569948	-	1	0.910714285714286	1	1	1	0.910714285714286
chr1	134962596	134962596	11.091928812436	0.0747150259067357	+	1	0.733333333333333	1	0.916666666666667	1	0.733333333333333
chr1	135132701	135132724	178.93496691604	0.68580310880829	+	0.864864864864865	0.921052631578947	0.885572139303483	0.876712328767123	0.921052631578947	0.864864864864865
chr1	135143181	135143181	51.6897949951512	0.376373056994819	+	0	0	0	0	0	0
chr1	135232045	135232045	5.35541996413883	0.0132642487046632	+	1	1	0.8125	0.857142857142857	1	0.8125
chr1	135313728	135313737	182.516147331973	0.690569948186529	-	0.745454545454545	0.840909090909091	0.915094339622642	0.89937106918239	0.915094339622642	0.745454545454545
chr1	135430448	135430448	15.4797918565405	0.124766839378238	-	0.555555555555556	0.916666666666667	0.9375	0.909090909090909	0.9375	0.555555555555556
chr1	13589828	13589875	298.534599011218	0.782176165803109	-	0.843003412969283	0.89622641509434	0.841379310344828	0.883408071748879	0.89622641509434	0.841379310344828
chr1	136018012	136018037	337.442635511963	0.800621761658031	+	0.852564102564103	0.94273127753304	0.919014084507042	0.907894736842105	0.94273127753304	0.852564102564103
chr1	136131399	136131456	109.882136047334	0.57720207253886	+	0.867132867132867	0.825242718446602	0.808333333333333	0.781818181818182	0.867132867132867	0.781818181818182
chr1	13660482	13660520	133.945975621613	0.624663212435233	-	0.795081967213115	0.898809523809524	0.765765765765766	0.918181818181818	0.918181818181818	0.765765765765766
chr1	138078547	138078547	11.5826080640165	0.0812435233160622	-	0	0	0	0.142857142857143	0.142857142857143	0
chr1	138080138	138080204	68.1002650572111	0.453264248704663	-	0.0477707006369427	0.0119047619047619	0	0.0273972602739726	0.0477707006369427	0
chr1	138080260	138080260	27.4213698652901	0.214715025906736	-	0	0	0	0	0	0
chr1	138080859	138080859	6.78692469941805	0.0435233160621762	-	0	0	0	0	0	0
chr1	138080931	138080931	6.96126550038622	0.0452849740932642	-	0	0	0	0	0	0
chr1	138083590	138083618	53.1727996551151	0.382383419689119	-	0	0	0.0125	0.0333333333333333	0.0333333333333333	0
chr1	138094276	138094276	11.850242941006	0.0840414507772021	-	0	0	0	0	0	0
chr1	138099605	138099614	46.6843138952692	0.347357512953368	-	0	0	0	0	0	0
