cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
12498	chrM	13235	13251	+	1.1019420690075	2	13236	0.55097103450375
11677	chr19	9014334	9014346	+	1.1019420690075	2	9014335	0.55097103450375
11128	chr17	46704953	46704961	-	1.59511145545053	2	46704954	1.04414042094678
9399	chr14	16400432	16400454	+	1.59511145545053	2	16400433	1.04414042094678
11469	chr18	34947930	34947990	-	2.14608248995428	3	34947990	1.04414042094678
12227	chrX	101441680	101441690	+	2.14608248995428	3	101441690	1.04414042094678
11183	chr17	65987056	65987060	-	2.52971247530721	2	65987060	1.97874144080346
8234	chr11	86357573	86357590	-	2.52971247530721	2	86357590	1.97874144080346
2386	chr4	32343435	32343449	+	2.52971247530721	2	32343449	1.97874144080346
6195	chr9	61914725	61914736	+	2.56175723641373	2	61914726	1.51761681546695
10903	chr17	85010292	85010294	+	2.56175723641373	2	85010294	1.51761681546695
7176	chr10	62766674	62766764	-	2.63925187639732	3	62766675	1.04414042094678
4925	chr7	122289103	122289135	+	2.69705352445803	4	122289104	1.04414042094678
626	chr1	97623297	97623337	-	2.98186486601492	2	97623337	2.43089383151117
9952	chr15	102086570	102086574	+	2.98186486601492	2	102086574	2.43089383151117
917	chr2	4881814	4881835	+	3.02288186175025	2	4881815	1.97874144080346
1501	chr2	45110174	45110212	-	3.11272827091748	3	45110175	1.51761681546695
8332	chr11	102320333	102320349	-	3.42699347725303	2	102320349	2.87602244274928
6712	chr10	19495581	19495602	+	3.49635825627041	2	19495582	1.97874144080346
4121	chr6	125100491	125100523	+	3.49635825627041	2	125100492	1.97874144080346
1716	chr2	156173354	156173397	-	3.573852896254	3	156173355	1.97874144080346
6768	chr10	39456117	39456127	+	3.92016286369607	2	39456127	2.87602244274928
16	chr1	21383189	21383192	+	3.94851064697812	2	21383192	2.43089383151117
8230	chr11	85235071	85235118	-	3.94851064697812	2	85235072	2.43089383151117
727	chr1	144246260	144246306	-	4.0260052869617	3	144246306	2.43089383151117
3765	chr5	124862196	124862197	-	4.18018489966983	1	124862197	4.18018489966983
12431	chrX	109005720	109005721	-	4.18018489966983	1	109005721	4.18018489966983
4840	chr7	81789586	81789631	+	4.35953413659681	2	81789631	3.31539371565003
5104	chr7	25658746	25658750	-	4.35953413659681	2	25658750	3.31539371565003
11053	chr17	33718652	33718667	-	4.47113389819982	3	33718653	2.87602244274928
5665	chr8	100384519	100384520	+	4.60676578179308	1	100384520	4.60676578179308
8149	chr11	74572676	74572719	-	4.83301053111697	2	74572719	3.31539371565003
4671	chr7	19320275	19320322	+	4.9926510679249	3	19320277	2.43089383151117
3067	chr4	135347174	135347204	-	5.62111674241224	5	135347179	2.43089383151117
3682	chr5	112242352	112242366	-	5.7462875471612	2	112242353	3.31539371565003
2276	chr3	111060833	111060834	-	5.86789545351332	1	111060834	5.86789545351332
3604	chr5	59988332	59988333	-	5.86789545351332	1	59988333	5.86789545351332
1722	chr2	156392964	156392988	-	5.92725208778158	3	156392965	2.43089383151117
91	chr1	40535672	40535799	+	6.17208777691599	6	40535673	2.43089383151117
1925	chr3	89227595	89227602	+	6.18078954573189	2	89227596	3.74989571422072
4783	chr7	45921544	45921587	+	6.29725858166495	3	45921587	3.31539371565003
5377	chr7	118116159	118116162	-	6.41886648801707	2	118116160	5.86789545351332
8598	chr12	83663915	83663917	+	6.41886648801707	2	83663916	5.86789545351332
4077	chr6	115601932	115601974	+	6.69504662368665	3	115601933	4.60676578179308
481	chr1	38664939	38664996	-	7.26966170096551	3	38664962	2.87602244274928
149	chr1	72307492	72307533	+	7.37550412423115	4	72307533	2.87602244274928
9734	chr14	103096181	103096182	-	7.51504614556735	1	103096182	7.51504614556735
1110	chr2	79257810	79257811	+	7.51504614556735	1	79257811	7.51504614556735
11012	chr17	31075513	31075514	-	7.51504614556735	1	31075514	7.51504614556735
103	chr1	51585352	51585385	+	8.0507624629452	3	51585382	3.74989571422072
7032	chr10	128091612	128091618	+	8.26171526896679	2	128091613	6.28297382816333
8054	chr11	55033388	55033447	-	8.43890818847749	5	55033447	3.31539371565003
259	chr1	135133234	135133320	+	8.59595782895756	7	135133235	2.87602244274928
1571	chr2	92460481	92460510	-	8.61698821457485	3	92460504	7.51504614556735
6488	chr9	40345194	40345248	-	8.69935957307456	4	40345217	4.18018489966983
