cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
1434	chr6	54039943	54039944	+	4.05791499852969	1	54039944	4.05791499852969
1149	chr5	33378557	33378558	+	4.38356478159011	1	33378558	4.38356478159011
453	chr2	170511437	170511438	+	4.38356478159011	1	170511438	4.38356478159011
4003	chr17	65884924	65884925	-	4.70832304432077	1	65884925	4.70832304432077
2853	chr11	46389514	46389515	-	5.03225576671338	1	46389515	5.03225576671338
4407	chrX	152240112	152240113	+	5.03225576671338	1	152240113	5.03225576671338
100	chr1	157458581	157458582	+	5.03225576671338	1	157458582	5.03225576671338
4376	chrX	96157936	96157937	+	5.67786539115471	1	96157937	5.67786539115471
4033	chr18	20961445	20961446	+	5.99963583994896	1	20961446	5.99963583994896
2378	chr9	53667066	53667067	-	6.32077014711831	1	53667067	6.32077014711831
2100	chr8	23237658	23237659	-	6.32077014711831	1	23237659	6.32077014711831
1544	chr6	47636908	47636909	-	6.32077014711831	1	47636909	6.32077014711831
3666	chr16	13819313	13819314	+	6.64130298625633	1	13819314	6.64130298625633
2482	chr10	72309199	72309200	+	6.96126550038622	1	72309200	6.96126550038622
33	chr1	52008541	52008542	+	6.96126550038622	1	52008542	6.96126550038622
461	chr2	178023283	178023284	+	6.96126550038622	1	178023284	6.96126550038622
259	chr1	161251165	161251166	-	7.28068581270809	1	161251166	7.28068581270809
669	chr3	69722020	69722021	+	7.28068581270809	1	69722021	7.28068581270809
2607	chr10	79555095	79555096	-	7.59958944355572	1	79555096	7.59958944355572
4223	chr19	3283005	3283019	-	7.78718238388069	2	3283019	4.38356478159011
2071	chr8	113635820	113635821	+	7.9179996541247	1	113635821	7.9179996541247
4441	chrX	60404002	60404003	-	7.9179996541247	1	60404003	7.9179996541247
935	chr4	129335969	129336024	+	8.22788064848785	3	129336006	3.40361760229058
1558	chr6	51469673	51469720	-	8.40042092440956	2	51469674	6.32077014711831
2289	chr9	80269839	80269840	+	8.55342323263052	1	80269840	8.55342323263052
4393	chrX	134059196	134059197	+	8.55342323263052	1	134059197	8.55342323263052
2553	chr10	128091612	128091613	+	8.87047417825225	1	128091613	8.87047417825225
2061	chr8	106211022	106211023	+	9.1871072336279	1	106211023	9.1871072336279
4141	chr19	4962320	4962321	+	9.81918040046202	1	4962321	9.81918040046202
2238	chr9	42472416	42472417	+	9.81918040046202	1	42472417	9.81918040046202
