cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
3395	chr14	75208435	75208436	+	4.03764654940129	1	75208436	4.03764654940129
556	chr2	105017042	105017043	-	4.03764654940129	1	105017043	4.03764654940129
2175	chr8	85840762	85840763	-	4.65026792576851	1	85840763	4.65026792576851
1066	chr4	108479385	108479386	-	4.65026792576851	1	108479386	4.65026792576851
33	chr1	57406752	57406753	+	4.9561757366568	1	57406753	4.9561757366568
4467	chrX	51017913	51017914	-	4.9561757366568	1	51017914	4.9561757366568
4158	chr18	77767789	77767790	-	5.26183791689814	1	77767790	5.26183791689814
2979	chr11	106782788	106782789	-	5.26183791689814	1	106782789	5.26183791689814
380	chr2	92375499	92375500	+	5.26183791689814	1	92375500	5.26183791689814
887	chr4	46452347	46452348	+	5.26183791689814	1	46452348	5.26183791689814
4383	chrX	74282761	74282762	+	5.26183791689814	1	74282762	5.26183791689814
4050	chr18	7868849	7868856	+	5.30783846486651	2	7868850	3.11636586547698
2870	chr11	48871366	48871367	-	5.56726911284263	1	48871367	5.56726911284263
3452	chr14	56571845	56571846	-	5.56726911284263	1	56571846	5.56726911284263
3683	chr16	13819313	13819314	+	5.87248233091911	1	13819314	5.87248233091911
1016	chr4	34614904	34614905	-	5.87248233091911	1	34614905	5.87248233091911
1725	chr7	24399706	24399707	+	6.1774891981139	1	24399707	6.1774891981139
16	chr1	40324595	40324596	+	6.1774891981139	1	40324596	6.1774891981139
1722	chr7	19149829	19149830	+	6.1774891981139	1	19149830	6.1774891981139
442	chr2	164088884	164088885	+	6.48230017008173	1	164088885	6.48230017008173
2570	chr10	128411666	128411667	+	6.48230017008173	1	128411667	6.48230017008173
560	chr2	112368003	112368004	-	6.78692469941805	1	112368004	6.78692469941805
3496	chr15	58872677	58872678	+	6.78692469941805	1	58872678	6.78692469941805
3131	chr12	69583004	69583005	-	6.78692469941805	1	69583005	6.78692469941805
4068	chr18	34861206	34861207	+	6.78692469941805	1	34861207	6.78692469941805
4346	chrX	7657371	7657402	+	7.15262522724484	2	7657372	4.3440978675395
2332	chr9	111271873	111271875	+	7.15470057656608	2	111271875	3.7308920053934
3042	chr12	57230433	57230434	+	7.69976183664458	1	57230434	7.69976183664458
4482	chrX	77795920	77795942	-	8.98884819639609	2	77795942	5.87248233091911
2367	chr9	22131648	22131649	-	9.21810246929195	1	22131649	9.21810246929195
1423	chr6	31398835	31398848	+	9.29082752978707	2	31398848	6.48230017008173
4215	chr19	29367443	29367460	+	9.29385506359087	2	29367460	6.1774891981139
3125	chr12	59061430	59061452	-	9.30027360419631	2	59061452	4.9561757366568
2089	chr8	119344515	119344516	+	9.52136175106722	1	119344516	9.52136175106722
3391	chr14	74732326	74732364	+	9.60337433631252	2	74732327	5.87248233091911
523	chr2	48949230	48949231	-	9.82449538942872	1	48949231	9.82449538942872
3836	chr17	26676414	26676418	+	10.2151357475152	2	26676418	6.1774891981139
2624	chr10	78169748	78169755	-	10.2175370386111	2	78169749	5.56726911284263
2050	chr8	77549406	77549438	+	10.5151799443613	2	77549438	7.09137137318865
4300	chr19	9135583	9135609	-	10.8751075777091	3	9135609	5.56726911284263
3680	chr16	10411940	10411961	+	11.7984094219867	3	10411956	5.56726911284263
100	chr1	156524060	156524064	+	12.6539873288851	2	156524061	8.00371940311659
2660	chr10	127195719	127195728	-	13.5622003368315	2	127195720	9.21810246929195
3539	chr15	94543666	94543672	+	13.8683703950605	2	94543672	9.21810246929195
1533	chr6	142387234	142387235	+	14.9616543167485	1	142387235	14.9616543167485
924	chr4	117019421	117019426	+	15.3670274465558	2	117019426	11.9432188753831
103	chr1	160195256	160195260	+	16.2555800265986	2	160195260	13.7553317228479
259	chr1	161788368	161788369	-	16.4677895252369	1	161788369	16.4677895252369
3075	chr12	85686680	85686694	+	18.1898619563488	3	85686694	11.0358495414705
416	chr2	143063067	143063071	+	19.0241432574895	2	143063071	13.1516609265704
1547	chr6	29164692	29164731	-	19.9178300534053	2	29164731	14.9616543167485
2777	chr11	87578419	87578439	+	20.2507456893476	2	87578439	11.9432188753831
4395	chrX	96152534	96152535	+	20.3757267542089	1	96152535	20.3757267542089
666	chr3	60473073	60473077	+	21.4471211488899	2	60473077	14.6601964494719
2108	chr8	13104821	13104826	-	24.7902179550386	2	13104822	14.0570369297708
1416	chr6	13069784	13069800	+	25.2801997903378	4	13069785	9.52136175106722
1682	chr6	130194294	130194295	-	26.0701877822393	1	130194295	26.0701877822393
4458	chrX	17572284	17572302	-	26.906606192008	5	17572285	6.78692469941805
2017	chr8	27023828	27023837	+	28.2261413985399	3	27023829	12.5476292603945
2195	chr8	109693259	109693280	-	29.1501414157688	3	109693280	12.8496912776584
4032	chr17	78418089	78418099	-	30.2190284126903	2	78418090	17.6713991522958
91	chr1	143777291	143777305	+	30.3690822185694	3	143777305	13.7553317228479
2846	chr11	6520942	6520946	-	32.9031366244763	2	6520943	22.7756292627951
4020	chr17	57078452	57078514	-	34.8666217857	3	57078502	20.0754885758667
4046	chr17	87265895	87265924	-	37.5680260512033	3	87265901	18.2727994366741
82	chr1	134415468	134415484	+	45.6942457881451	5	134415469	18.5734024875968
3418	chr14	27508444	27508498	-	47.9694686872645	4	27508473	21.276099375721
965	chr4	135946464	135946472	+	52.488572109624	2	135946465	47.2267341927258
658	chr3	41742654	41742655	+	53.4574210291733	1	41742655	53.4574210291733
452	chr2	167503434	167503450	+	53.5964307659673	4	167503440	26.0701877822393
3241	chr13	94358955	94359026	+	55.2482724343026	5	94359007	30.5541547481199
3003	chr11	115628109	115628114	-	59.5754443440984	3	115628111	26.3694136788385
3721	chr16	44811783	44811816	+	67.8311320880733	4	44811784	48.4143160844859
1426	chr6	40471415	40471480	+	68.3785960742483	10	40471420	11.3384100772659
149	chr1	191575748	191575786	+	72.536714382254	7	191575752	20.3757267542089
1619	chr6	108185564	108185575	-	82.5956030709974	3	108185575	72.0966036576434
475	chr2	4652105	4652116	-	82.6499358124482	3	4652106	33.8368766853721
4240	chr19	53421596	53421651	+	89.6365914104832	6	53421645	20.9760313094212
3057	chr12	73964496	73964542	+	92.2705502773193	10	73964516	18.2727994366741
1138	chr4	155086297	155086357	-	94.4160318726746	8	155086348	26.9677334608065
2027	chr8	57512846	57512892	+	98.2988823022846	7	57512892	32.9420175833948
4409	chrX	101640061	101640103	+	104.861009721296	7	101640093	44.2560561100238
715	chr3	103171735	103171749	+	109.750998109638	4	103171736	65.0043825251851
2111	chr8	22593739	22593771	-	116.208660792503	9	22593761	29.6580895560162
1826	chr7	131560379	131560402	+	117.463095804784	4	131560391	98.0296427229779
2897	chr11	69672314	69672320	-	138.945386739731	4	69672317	97.4413489099339
450	chr2	167015292	167015323	+	144.015560180006	7	167015309	44.5532379165885
2769	chr11	83473085	83473116	+	148.438770104191	6	83473086	64.4129237788068
2499	chr10	72654879	72654913	+	151.160766500687	6	72654897	65.5957712588877
1003	chr4	156026291	156026328	+	159.093262675249	9	156026322	43.6616144144986
2227	chr9	14500633	14500707	+	172.656668432637	10	14500646	43.3643541627286
928	chr4	120975717	120975718	+	173.024217341923	1	120975718	173.024217341923
3158	chr12	101913122	101913146	-	180.599601525475	4	101913123	80.9492113928952
3088	chr12	104236229	104236245	+	198.978435848244	5	104236242	85.960006298054
2278	chr9	64179296	64179341	+	221.173037366039	19	64179310	36.8175619269883
299	chr1	183345430	183345461	-	278.682179439354	7	183345443	167.18353941602
3094	chr12	111538169	111538220	+	303.903140433778	7	111538216	113.309926817811
2060	chr8	86624054	86624119	+	339.733334577269	12	86624105	134.716567461858
3140	chr12	80113008	80113013	-	425.476174306313	5	80113011	319.82039836423
1910	chr7	45510352	45510414	-	1344.51850885538	14	45510389	844.847146900232
