anno	id	cage.id	atac.id	cage	atac	plotly	anno.ez
Cops5	1	1	43	44.3478730139134	14.4454334972988	chr1:10037912-10037963..SYMBOL	NA
Cspp1	2	2	43	42.7934334631308	14.4454334972988	chr1:10038215-10038262..SYMBOL	NA
Cspp1	3	3	44	37.754563227488	15.3614733207463	chr1:10039765-10039838..SYMBOL	NA
NA	4	4	56828	10.7179405835835	0.0317479080553897	chr1:105455956-105455961..SYMBOL	NA
Relch	5	5	1743	49.7171184532828	48.1968980036209	chr1:105663861-105663931..SYMBOL	NA
Bcl2	6	6	1793	4.42329859811667	13.1566939178518	chr1:106712436-106712436..SYMBOL	NA
Bcl2	7	7	1794	65.0681956427481	22.5819495202237	chr1:106713982-106714017..SYMBOL	NA
Vps4b	8	8	1798	118.935070393973	20.7758083004574	chr1:106796623-106796708..SYMBOL	NA
Tsn	9	9	1807	92.0767446424747	10.2625924255108	chr1:118311164-118311230..SYMBOL	NA
Nifk	10	10	1808	70.7548256027445	8.15215890264456	chr1:118321829-118321882..SYMBOL	NA
Ptpn4	11	11	1829	110.280788923338	2.21940608862794	chr1:119713112-119713224..SYMBOL	NA
Dbi	12	12	1843	16.8401995032079	17.9219599962011	chr1:120121012-120121050..SYMBOL	NA
Actr3	13	13	1876	192.749113194156	43.4922592282141	chr1:125435422-125435575..SYMBOL	NA
Mgat5	14	14	1890	40.3895448549382	30.2918146127149	chr1:127204995-127205047..SYMBOL	NA
Rab3gap1	15	15	1945	48.1935676470523	16.0602427404871	chr1:127868776-127868809..SYMBOL	NA
Ubxn4	16	16	1948	580.838886291604	31.5357625573485	chr1:128244137-128244353..SYMBOL	NA
Ubxn4	17	17	1948	34.0975833561646	31.5357625573485	chr1:128244405-128244455..SYMBOL	NA
Mcm6	18	18	1950	81.0363891794889	29.6190874036082	chr1:128359617-128359699..SYMBOL	NA
Dars	19	19	1954	62.3303616385007	16.5192383685361	chr1:128417298-128417388..SYMBOL	NA
Cxcr4	20	20	1963	23.5840652026777	6.90487586698088	chr1:128606082-128606107..SYMBOL	NA
Cd55	21	21	1986	50.3661251761931	19.2726643739224	chr1:130462699-130462754..SYMBOL	NA
Eif2d	22	22	2021	18.7363598930556	5.03604430706538	chr1:131153193-131153248..SYMBOL	NA
Rassf5	23	23	2025	110.38107107092	36.3124157654498	chr1:131200084-131200210..SYMBOL	NA
Ikbke	24	24	2030	43.3449575683193	6.44567635846658	chr1:131279521-131279605..SYMBOL	NA
Ctse	25	25	2042	13.9724997046083	3.92044237159792	chr1:131638265-131638289..SYMBOL	NA
Rab29	26	26	2050	9.99597928938634	28.340350262006	chr1:131867260-131867266..SYMBOL	NA
Mdm4	27	27	2093	162.679680002674	16.5053006827989	chr1:133025336-133025386..SYMBOL	NA
Snrpe	28	28	2121	12.8884756847501	28.5343045845016	chr1:133610246-133610265..SYMBOL	NA
NA	29	29	2122	57.3818909770339	17.9975948204816	chr1:133661317-133661405..SYMBOL	NA
Lax1	30	30	2124	134.68819417302	37.2357692032807	chr1:133689821-133690133..SYMBOL	NA
Btg2	31	31	2149	258.100471015287	78.9838688235915	chr1:134079116-134079121..SYMBOL	NA
Tmem183a	32	32	2163	28.8298872426426	19.5116947760431	chr1:134361938-134362020..SYMBOL	NA
Adipor1	33	33	2166	48.9722086031356	45.6828573513827	chr1:134415469-134415492..SYMBOL	NA
Kdm5b	34	34	2176	37.4201477167244	9.44574838633523	chr1:134560165-134560223..SYMBOL	NA
Ppp1r12b	35	35	2182	24.5491650739285	23.6571324847616	chr1:134955917-134955931..SYMBOL	NA
Ube2t	36	36	2183	4.71228180491482	27.5775898068947	chr1:134962587-134962596..SYMBOL	NA
Ptpn7	37	37	2192	62.0457818674815	39.2684339464836	chr1:135132628-135132736..SYMBOL	NA
NA	38	38	56829	6.88910651260379	0.0788787446528338	chr1:135232045-135232048..SYMBOL	NA
Timm17a	39	39	2200	49.5631067176928	28.6900776955967	chr1:135313728-135313738..SYMBOL	NA
Tram1	40	40	103	106.278540757947	15.5725604760178	chr1:13589804-13589881..SYMBOL	NA
Tmem9	41	41	2239	100.033721897009	8.31774448213639	chr1:136018008-136018037..SYMBOL	NA
Kif21b	42	42	2244	59.0032968670338	27.3971813526291	chr1:136131390-136131489..SYMBOL	NA
Lactb2	43	43	110	60.0400278106988	46.0568996592466	chr1:13660482-13660549..SYMBOL	NA
Ptprc	44	44	2311	784.312102637975	10.4715581376332	chr1:138175169-138175340..SYMBOL	NA
Zbtb41	45	45	2380	86.278021557595	21.9686865915012	chr1:139422188-139422380..SYMBOL	NA
Uchl5	46	46	2395	43.9172567875417	44.9175109365605	chr1:143777276-143777339..SYMBOL	NA
Rgs2	47	47	2405	25.5315988336961	47.3521213859004	chr1:144004122-144004149..SYMBOL	NA
Rgs1	48	48	2417	415.402900574096	11.7946547954951	chr1:144249042-144249106..SYMBOL	NA
Rgs18	49	49	2431	10.6401524896466	2.21288915020311	chr1:144775427-144775448..SYMBOL	NA
Odr4	50	50	2434	31.5485276513817	66.3653239956652	chr1:150392711-150392750..SYMBOL	NA
Tpr	51	51	2434	19.5205586167329	66.3653239956652	chr1:150392801-150392843..SYMBOL	NA
Tpr	52	52	2434	704.554010934311	66.3653239956652	chr1:150393260-150393420..SYMBOL	NA
Tpr	53	53	2434	13.5879091439421	66.3653239956652	chr1:150393558-150393649..SYMBOL	NA
Ivns1abp	54	54	2455	69.5636709460129	49.9616167438574	chr1:151344501-151344579..SYMBOL	NA
Swt1	55	55	2457	42.8788062386782	70.7169797632993	chr1:151428330-151428469..SYMBOL	NA
Trmt1l	56	56	2457	28.0943274777538	70.7169797632993	chr1:151428627-151428698..SYMBOL	NA
1700025G04Rik	57	57	2506	58.0301754501458	32.3637235508001	chr1:152090247-152090327..SYMBOL	NA
Arpc5	58	58	2536	231.72241675712	32.274474481145	chr1:152766625-152766797..SYMBOL	NA
