anno	id	cage.id	atac.id	cage	atac	plotly	anno.ez
Cops5	1	1	43	44.3478730139134	14.4439161080061	chr1:10037912-10037963..SYMBOL	NA
Cspp1	2	2	43	42.7934334631308	14.4439161080061	chr1:10038215-10038262..SYMBOL	NA
Cspp1	3	3	44	37.754563227488	15.3598442793015	chr1:10039765-10039838..SYMBOL	NA
NA	4	4	56828	10.7179405835835	0.0317446921445796	chr1:105455956-105455961..SYMBOL	NA
Relch	5	5	1743	49.7171184532828	48.1918356445507	chr1:105663861-105663931..SYMBOL	NA
Bcl2	6	6	1793	4.42329859811667	13.1553115969206	chr1:106712436-106712436..SYMBOL	NA
Bcl2	7	7	1794	65.0681956427481	22.5795686739206	chr1:106713982-106714017..SYMBOL	NA
Vps4b	8	8	1798	118.935070393973	20.77362799152	chr1:106796623-106796708..SYMBOL	NA
Tsn	9	9	1807	92.0767446424747	10.2615166113039	chr1:118311164-118311230..SYMBOL	NA
Nifk	10	10	1808	70.7548256027445	8.1512971770701	chr1:118321829-118321882..SYMBOL	NA
Ptpn4	11	11	1829	110.280788923338	2.21917417439291	chr1:119713112-119713224..SYMBOL	NA
Dbi	12	12	1843	16.8401995032079	17.9200627207565	chr1:120121012-120121050..SYMBOL	NA
Actr3	13	13	1876	192.749113194156	43.4876900953223	chr1:125435422-125435575..SYMBOL	NA
Mgat5	14	14	1890	40.3895448549382	30.2886268898484	chr1:127204995-127205047..SYMBOL	NA
Rab3gap1	15	15	1945	48.1935676470523	16.0585585189313	chr1:127868776-127868809..SYMBOL	NA
Ubxn4	16	16	1948	580.838886291604	31.5324463218314	chr1:128244137-128244353..SYMBOL	NA
Ubxn4	17	17	1948	34.0975833561646	31.5324463218314	chr1:128244405-128244455..SYMBOL	NA
Mcm6	18	18	1950	81.0363891794889	29.6159817196743	chr1:128359617-128359699..SYMBOL	NA
Dars	19	19	1954	62.3303616385007	16.5175024506647	chr1:128417298-128417388..SYMBOL	NA
Cxcr4	20	20	1963	23.5840652026777	6.90416006257343	chr1:128606082-128606107..SYMBOL	NA
Cd55	21	21	1986	50.3661251761931	19.2706242538386	chr1:130462699-130462754..SYMBOL	NA
Eif2d	22	22	2021	18.7363598930556	5.03551279442298	chr1:131153193-131153248..SYMBOL	NA
Rassf5	23	23	2025	110.38107107092	36.3086015805266	chr1:131200084-131200210..SYMBOL	NA
Ikbke	24	24	2030	43.3449575683193	6.44499853634063	chr1:131279521-131279605..SYMBOL	NA
Ctse	25	25	2042	13.9724997046083	3.92003910714518	chr1:131638265-131638289..SYMBOL	NA
Rab29	26	26	2050	9.99597928938634	28.3373656075255	chr1:131867260-131867266..SYMBOL	NA
Mdm4	27	27	2093	162.679680002674	16.5035693152862	chr1:133025336-133025386..SYMBOL	NA
Snrpe	28	28	2121	12.8884756847501	28.5313037252723	chr1:133610246-133610265..SYMBOL	NA
NA	29	29	2122	57.3818909770339	17.9957051642995	chr1:133661317-133661405..SYMBOL	NA
Lax1	30	30	2124	134.68819417302	37.2318524906776	chr1:133689821-133690133..SYMBOL	NA
