cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
5516	chr6	87038480	87038533	+	1.45974743709069	3	87038517	0.72086831115484
16684	chrX	48433654	48433657	-	2.78241954958859	2	48433655	2.41297998662066
13251	chr15	61987047	61987054	+	2.78241954958859	2	61987048	2.41297998662066
5765	chr6	18845804	18845820	-	3.11405183187394	2	18845805	2.74461226890602
8426	chr9	62373524	62373527	+	3.1338482977755	2	62373527	2.41297998662066
4990	chr5	77095248	77095285	-	3.20407574233376	4	77095285	1.74432830524308
5272	chr6	3201341	3201369	+	3.24642105886813	5	3201342	1.0658053106226
7086	chr7	45126992	45127042	-	3.86632439906869	3	45127005	2.07965077729124
2028	chr2	34865750	34865751	-	4.05791499852969	1	34865751	4.05791499852969
517	chr1	172110690	172110691	+	4.05791499852969	1	172110691	4.05791499852969
8574	chr9	100945859	100945860	+	4.05791499852969	1	100945860	4.05791499852969
16428	chrX	68710973	68710974	+	4.05791499852969	1	68710974	4.05791499852969
10353	chr11	72961358	72961359	+	4.05791499852969	1	72961359	4.05791499852969
1800	chr2	155209173	155209174	+	4.05791499852969	1	155209174	4.05791499852969
259	chr1	87428667	87428704	+	4.12448591344542	2	87428704	3.40361760229058
8159	chr8	105326267	105326268	-	4.38356478159011	1	105326268	4.38356478159011
13953	chr16	36912182	36912183	+	4.38356478159011	1	36912183	4.38356478159011
10213	chr11	51898951	51898966	+	4.4926307639119	2	51898966	2.41297998662066
932	chr1	138091325	138091326	-	4.70832304432077	1	138091326	4.70832304432077
8844	chr9	41003757	41003758	-	4.70832304432077	1	41003758	4.70832304432077
13135	chr14	70175406	70175407	-	4.70832304432077	1	70175407	4.70832304432077
8360	chr9	44607228	44607299	+	4.86207032687983	3	44607229	2.41297998662066
1945	chr2	9877600	9877619	-	4.87817660301858	3	9877619	2.41297998662066
15043	chr17	65594875	65594876	-	5.03225576671338	1	65594876	5.03225576671338
945	chr1	138118410	138118434	-	5.1544188151962	2	138118434	3.07476803790496
12261	chr13	55247025	55247030	+	5.15759225552669	2	55247026	2.74461226890602
91	chr1	40498100	40498147	+	5.15759225552669	2	40498101	2.74461226890602
988	chr1	153469688	153469715	-	5.21349907506674	3	153469715	2.41297998662066
16177	chr19	34527433	34527447	-	5.21701063050717	3	34527447	2.74461226890602
15603	chr19	6061184	6061205	+	5.42919135547561	2	6061185	4.70832304432077
2624	chr3	86224712	86224716	+	5.44937009221271	2	86224716	4.38356478159011
1680	chr2	119946337	119946366	+	5.48326837958182	2	119946366	3.40361760229058
2061	chr2	45001621	45001624	-	5.48326837958182	2	45001624	3.40361760229058
8141	chr8	95741882	95741916	-	5.48326837958182	2	95741916	3.40361760229058
15229	chr18	35583887	35583916	+	5.48774802452563	2	35583888	3.07476803790496
3143	chr3	130730340	130730343	-	5.5451313573521	3	130730342	2.74461226890602
4622	chr5	115565270	115565286	+	5.81938030681098	2	115565286	3.07476803790496
15252	chr18	36745641	36745674	+	5.87846056668153	3	36745674	2.74461226890602
2144	chr2	91169843	91169844	-	5.99963583994896	1	91169844	5.99963583994896
6464	chr7	28741991	28742008	+	6.47838564019555	2	28741992	3.40361760229058
2399	chr2	157566327	157566330	-	6.78797382161201	2	157566328	4.70832304432077
15713	chr19	9013569	9013571	+	6.80606450791428	2	9013571	3.73129647000932
4006	chr4	122862437	122862447	-	6.9039138234885	3	122862438	2.74461226890602
11857	chr12	51802319	51802330	-	7.23893995986199	3	51802322	2.41297998662066
13306	chr15	78899805	78899819	+	7.36217129741117	2	78899806	6.64130298625633
10357	chr11	72980550	72980552	+	7.45833281949507	2	72980552	4.38356478159011
15692	chr19	9009078	9009127	+	7.46153260082027	2	9009127	4.05791499852969
13514	chr15	38004068	38004101	-	7.89903108410222	3	38004101	3.07476803790496
7567	chr8	3432785	3432864	+	7.90072801114629	3	3432864	3.07476803790496
4078	chr4	123472491	123472521	-	8.29144055330219	4	123472492	2.74461226890602
10721	chr11	16973982	16974024	-	10.1704961550666	3	16973983	5.67786539115471
16899	chrM	1725	1775	+	10.172831093829	3	1775	4.70832304432077
481	chr1	171329433	171329477	+	10.2061448697263	3	171329462	4.05791499852969
