cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
12364	chr19	46078954	46078978	+	0.959114918566634	2	46078955	0.479557459283317
1063	chr2	30952963	30953007	+	0.959114918566634	2	30952964	0.479557459283317
6734	chr9	21243953	21243982	-	1.38083711018985	2	21243954	0.901279650906537
4013	chr5	151651194	151651206	-	1.38083711018985	2	151651206	0.901279650906537
12882	chrX	152033787	152033816	+	1.38083711018985	2	152033816	0.901279650906537
11146	chr17	13760540	13760545	+	1.80255930181307	2	13760541	0.901279650906537
517	chr1	39577348	39577393	-	1.86039456947317	3	39577357	0.901279650906537
3387	chr5	45669920	45669925	+	2.17342123600816	2	45669925	1.69386377672484
6542	chr9	78448210	78448223	+	2.26273293963264	3	78448211	1.303618021066
5370	chr7	35555465	35555498	-	2.55491471645718	2	35555466	2.07535725717386
8841	chr11	120581185	120581208	-	2.59514342763138	2	120581208	1.69386377672484
6277	chr8	122900006	122900075	-	2.74229039891595	4	122900066	1.303618021066
8392	chr11	50308368	50308391	-	2.99748179779085	2	50308391	1.69386377672484
259	chr1	133821605	133821652	+	3.35129762518166	2	133821652	2.45001797427512
4630	chr6	120836090	120836100	-	3.37897527823986	2	120836100	2.07535725717386
11371	chr17	56601241	56601258	+	3.76922103389871	2	56601258	2.07535725717386
12833	chrX	101441524	101441548	+	4.08472497912918	2	101441548	3.18344532822264
1421	chr2	172370670	172370690	+	4.14388175099997	2	172370671	2.45001797427512
6943	chr9	107852919	107852921	-	4.15071451434772	2	107852920	2.07535725717386
16	chr1	21386951	21386952	+	4.25393010109279	1	21386952	4.25393010109279
8369	chr11	44003067	44003068	-	4.25393010109279	1	44003068	4.25393010109279
10839	chr16	24781156	24781157	+	4.25393010109279	1	24781157	4.25393010109279
91	chr1	40533766	40533800	+	4.37998112706939	2	40533767	3.90042366778608
9977	chr14	77870993	77870995	+	4.52537523144899	2	77870994	2.45001797427512
8477	chr11	69070700	69070712	-	4.52537523144899	2	69070712	2.45001797427512
5082	chr7	102065605	102065606	+	4.604560521005	1	102065606	4.604560521005
12853	chrX	130005710	130005711	+	4.604560521005	1	130005711	4.604560521005
10195	chr14	110275737	110275738	-	4.604560521005	1	110275738	4.604560521005
1276	chr2	126736389	126736411	+	4.62343921028328	3	126736411	2.45001797427512
11197	chr17	25875514	25875519	+	4.84734341194569	2	25875515	3.54372539087968
11901	chr18	64921143	64921156	+	4.84734341194569	2	64921156	3.54372539087968
100	chr1	43564188	43564211	+	4.87730910494748	2	43564211	3.18344532822264
13038	chrX	109191062	109191063	-	4.9525757567095	1	109191063	4.9525757567095
2091	chr3	103875599	103875600	+	4.9525757567095	1	103875600	4.9525757567095
1981	chr3	87849627	87849704	+	5.29720511537313	6	87849653	2.07535725717386
932	chr1	181198872	181198913	-	5.42674553017181	7	181198873	1.303618021066
8575	chr11	83026927	83026928	-	5.64160366652455	1	83026928	5.64160366652455
481	chr1	23922263	23922269	-	5.90817854207101	2	23922264	4.604560521005
10381	chr15	86183056	86183057	+	5.98296291415931	1	86183057	5.98296291415931
6699	chr9	7871008	7871092	-	6.22818052213554	4	7871092	3.54372539087968
4376	chr6	145115793	145115820	+	6.3504416420612	2	145115794	3.90042366778608
1630	chr2	84425265	84425266	-	6.66007278454981	1	84425266	6.66007278454981
149	chr1	66700867	66700888	+	6.70394807536792	2	66700888	4.25393010109279
3470	chr5	105881277	105881278	+	6.99605377623191	1	105881278	6.99605377623191
6417	chr9	48806976	48806990	+	7.08386899600872	2	48806990	3.90042366778608
11660	chr17	46153502	46153504	-	7.13963024383313	2	46153504	6.66007278454981
3488	chr5	110231003	110231039	+	7.32863098800749	4	110231004	4.25393010109279
5790	chr8	61224192	61224208	+	7.53844206779741	4	61224193	2.07535725717386
11426	chr17	86964847	86964848	+	7.66335078193387	1	86964848	7.66335078193387
11468	chr17	15527286	15527298	-	8.27206134334502	5	15527290	3.54372539087968
3107	chr4	123471311	123471312	-	8.32496066197912	1	123471312	8.32496066197912
356	chr1	164062963	164062991	+	8.37289560799396	4	164062970	5.29819472107927
9642	chr13	47101695	47101728	-	9.55679406071024	6	47101712	3.18344532822264
5900	chr8	95633504	95633518	+	10.8297463456168	5	95633509	5.29819472107927
5254	chr7	4640073	4640181	-	11.4864164986265	8	4640158	2.81909038628959
5505	chr7	90353894	90353895	-	11.5637862216287	1	90353895	11.5637862216287
6193	chr8	95080651	95080724	-	11.6407164870914	4	95080700	3.18344532822264
7419	chr10	19907650	19907662	-	12.3261277349626	3	19907662	5.29819472107927
3826	chr5	105718210	105718232	-	12.3261277349626	3	105718211	5.29819472107927
7275	chr10	98986907	98986973	+	13.2729139611184	8	98986910	5.29819472107927
1607	chr2	69789488	69789578	-	13.5938194835185	7	69789578	3.54372539087968
6384	chr9	37230883	37230905	+	13.8031789098703	3	37230884	5.29819472107927
626	chr1	85736573	85736680	-	14.1039384158054	10	85736620	4.604560521005
12557	chr19	8798524	8798559	-	14.5404113578003	4	8798557	7.66335078193387
11491	chr17	24414402	24414479	-	14.6539628964126	4	24414427	6.32241186146325
727	chr1	134076551	134076619	-	15.2074934166797	4	134076552	8.98142164515812
2772	chr4	137373967	137374016	+	15.5146164156709	4	137373988	5.64160366652455
103	chr1	45795500	45795527	+	15.7635720026701	7	45795508	7.33045105156625
6894	chr9	88482144	88482235	-	16.0778684685397	10	88482189	5.29819472107927
6456	chr9	61374320	61374337	+	17.6127566196441	5	61374329	6.66007278454981
7716	chr11	4637706	4637798	+	17.9141167990104	8	4637750	9.30786428755816
1427	chr2	173021928	173021932	+	19.1935195640182	2	173021929	18.7139621047349
11296	chr17	35469245	35469248	+	19.9780496962225	2	35469246	15.025473939513
8367	chr11	43426207	43426229	-	20.0019592559718	4	43426213	11.5637862216287
11457	chr17	8147710	8147809	-	20.5231871259449	10	8147712	6.99605377623191
8297	chr11	23770962	23771001	-	20.9727759470067	6	23770966	10.6028224244852
2900	chr4	33031300	33031318	-	22.7126387663152	4	33031318	11.8823324402102
4488	chr6	51464514	51464526	-	23.4989254013529	5	51464517	7.66335078193387
2555	chr4	48039927	48039939	+	23.7136417917351	5	48039931	9.63318199275611
3571	chr5	125475820	125475884	+	27.1919937408666	6	125475873	10.6028224244852
4570	chr6	97179049	97179154	-	29.53940201994	13	97179133	7.33045105156625
5793	chr8	69088757	69088782	+	31.7512446397802	8	69088766	13.4629685810534
3782	chr5	76951169	76951227	-	33.603799059373	12	76951187	8.32496066197912
3455	chr5	100798742	100798762	+	35.3540130104656	8	100798743	9.63318199275611
4809	chr7	3645246	3645294	+	37.8287801480398	5	3645250	31.1455687191402
11634	chr17	36958460	36958576	-	40.608697361018	10	36958465	14.714307629107
11920	chr18	67774892	67775003	+	45.7955204090904	12	67774996	15.9552297157617
7011	chr10	18917553	18917639	+	46.2200975068384	10	18917577	11.2443725402977
3372	chr5	37047818	37047909	+	50.2166223530845	7	37047819	33.1643066991884
2506	chr4	33031435	33031552	+	58.8417884532103	16	33031496	14.0900079542205
4545	chr6	87533216	87533305	-	67.4361126281911	11	87533240	20.2290208182402
945	chr1	183369533	183369558	-	108.779892842521	10	183369553	44.2115479202086
1206	chr2	91054270	91054297	+	109.847405360881	8	91054297	61.5179138700476
10025	chr14	20388836	20388898	-	167.454829618594	20	20388873	26.4807422018385
8473	chr11	68852952	68853133	-	184.807289995597	35	68853041	22.3316397782089
4350	chr6	129591650	129591833	+	209.060142011191	18	129591810	181.388586714618
3333	chr5	31240862	31240955	+	268.232245102314	32	31240907	48.6617186369041
3309	chr5	23434440	23434479	+	295.002218823635	15	23434464	218.96137283743
11712	chr17	57011244	57011323	-	379.529702139029	24	57011302	191.81587295188
2070	chr3	96629915	96630022	+	649.393262504063	25	96629940	209.632239509499
