chr	start	end	tpm	pct	strand	cap.B6_Ly49Dn_mRNA	cap.B6_Ly49Dn_terminator	cap.B6_Ly49Dp_mRNA	cap.B6_Ly49Dp_terminator	max	min
chr1	10037912	10037963	165.79889784778	0.802691700589848	-	0.913636363636364	0.954545454545455	0.9	0.903225806451613	0.954545454545455	0.9
chr1	10038215	10038262	151.613494534621	0.788070117138822	+	0.867549668874172	0.888888888888889	0.972972972972973	0.868131868131868	0.972972972972973	0.867549668874172
chr1	10039765	10039838	122.614928812108	0.751682312868655	+	0.56043956043956	0.731707317073171	0.68125	0.671052631578947	0.731707317073171	0.56043956043956
chr1	10141585	10141585	5.56726911284263	0.0839079504860015	-	0	0	0	0	0	0
chr1	105455956	105455961	39.1288938124681	0.493395364293429	+	1	1	1	0.944444444444444	1	0.944444444444444
chr1	105663641	105663676	53.919148774653	0.568829442552131	-	0.818181818181818	0.659090909090909	0.446428571428571	0.611111111111111	0.818181818181818	0.446428571428571
chr1	105663861	105663931	170.344978968103	0.807011713882197	+	0.765151515151515	0.844827586206897	0.649484536082474	0.8125	0.844827586206897	0.649484536082474
chr1	105741305	105741305	5.26183791689814	0.0376755005400017	+	0	0	0	0	0	0
chr1	105990232	105990232	7.66335078193387	0.180194400598156	-	0	1	1	1	1	0
chr1	106612574	106612574	11.5811685492426	0.245659217412977	-	0	0.928571428571429	0	1	1	0
chr1	106712436	106712436	6.28297382816333	0.141023510841572	-	0.833333333333333	0.833333333333333	1	1	1	0.833333333333333
chr1	106713399	106713444	15.9481767616468	0.305807094791061	-	0	0	0	0	0	0
chr1	106713982	106714017	254.203801357058	0.860845725679156	-	0.724444444444444	0.904761904761905	0.89589905362776	0.894736842105263	0.904761904761905	0.724444444444444
chr1	106759666	106759701	59.1824225990938	0.592838747196145	-	1	0.85	0.884615384615385	0.918918918918919	1	0.85
chr1	106779042	106779042	6.32077014711831	0.143308133255795	-	0	0	0	0	0	0
chr1	106796623	106796708	451.114513022537	0.918085901802775	-	0.750519750519751	0.731182795698925	0.761306532663317	0.704225352112676	0.761306532663317	0.704225352112676
chr1	118311164	118311230	347.551200220426	0.893578134086566	-	0.729032258064516	0.792452830188679	0.812903225806452	0.76	0.812903225806452	0.729032258064516
chr1	118321829	118321882	271.331919284235	0.869236520727756	+	0.842794759825327	0.96195652173913	0.895306859205776	0.91970802919708	0.96195652173913	0.842794759825327
chr1	118327699	118327699	5.35541996413883	0.0649663537426269	+	0	0	0	0	0	0
chr1	119659830	119659830	5.26183791689814	0.0376755005400017	-	1	0	0	0	1	0
chr1	119696290	119696312	8.98884819639609	0.206945252139237	-	0	0	0	0	0	0
chr1	119713112	119713224	417.40762803839	0.911356650328155	-	0.987915407854985	0.926470588235294	0.934707903780069	0.910344827586207	0.987915407854985	0.910344827586207
chr1	120055844	120055844	5.03003787226332	0.00311539420121293	+	0	1	0	1	1	0
chr1	120073742	120073786	29.9494656964715	0.432084406413558	-	1	0.8	0.958333333333333	0.826086956521739	1	0.8
chr1	120073901	120073901	12.3604889238296	0.256542327822547	+	0	0.9	0	1	1	0
chr1	120121012	120121050	60.2106253114979	0.595912602808009	-	0.9	0.943396226415094	0.976744186046512	0.891891891891892	0.976744186046512	0.891891891891892
chr1	121305551	121305551	6.1774891981139	0.135000415385893	-	0	0	0	0	0	0
chr1	121567891	121567972	141.974267258887	0.776356234942261	-	0.828571428571429	0.869565217391304	0.918367346938776	0.899159663865546	0.918367346938776	0.828571428571429
chr1	122303345	122303345	15.5851828700905	0.300240923818227	-	0	0	0	0	0	0
chr1	122357238	122357238	22.3645702371177	0.371770374678076	-	0	0	0	0	0	0
chr1	125411294	125411358	52.5146891689225	0.562847885685802	-	0	0	0	0	0	0
chr1	125435422	125435575	722.580873022995	0.94707983716873	-	0.811764705882353	0.818807339449541	0.822695035460993	0.813880126182965	0.822695035460993	0.811764705882353
chr1	127204995	127205047	142.027523809104	0.77643931212096	+	0.305555555555556	0.716417910447761	0.862745098039216	0.847457627118644	0.862745098039216	0.305555555555556
chr1	127233308	127233321	20.7788125641977	0.357564177120545	+	0	0.96551724137931	0	0.925925925925926	0.96551724137931	0
chr1	127306028	127306028	26.5020255235188	0.407493561518651	-	1	0.928571428571429	0	0.9	1	0
chr1	127320425	127320425	5.67786539115471	0.101063387887347	+	0	1	1	1	1	0
chr1	127774196	127774267	160.873269131769	0.797790147046606	+	0.571428571428571	0.588607594936709	0.693069306930693	0.682539682539683	0.693069306930693	0.571428571428571
chr1	127796144	127796144	5.87248233091911	0.114937276730082	+	0	0	0	0	0	0
chr1	127804792	127804792	5.26183791689814	0.0376755005400017	+	0	0	0	0	0	0
chr1	127868776	127868809	185.340081394412	0.819224059150951	+	0.909090909090909	0.975409836065574	0.93010752688172	0.94047619047619	0.975409836065574	0.909090909090909
chr1	128244137	128244353	2269.92700204685	0.986126111157265	+	0.757244855102898	0.748078565328779	0.775653531018338	0.75381485249237	0.775653531018338	0.748078565328779
chr1	128244405	128244455	112.467445326434	0.734817645592756	+	0.81021897810219	0.84	0.707317073170732	0.791666666666667	0.84	0.707317073170732
chr1	128252203	128252297	41.8717187806675	0.50926310542494	+	0	0	0.246376811594203	0	0.246376811594203	0
chr1	128256127	128256211	44.9842624582291	0.525546232449946	+	0	0	0	0.0416666666666667	0.0416666666666667	0
chr1	128349360	128349360	5.67786539115471	0.101063387887347	-	0	0	0	0	0	0
chr1	128359617	128359699	305.120504278328	0.881365788817812	-	0.859872611464968	0.77639751552795	0.74169741697417	0.811320754716981	0.859872611464968	0.74169741697417
chr1	128417298	128417388	200.81136173378	0.829941015203124	-	0.696132596685083	0.76969696969697	0.777777777777778	0.771186440677966	0.777777777777778	0.696132596685083
chr1	128606082	128606107	91.4549732232358	0.696435989033812	+	0.742424242424242	0.743589743589744	0.894117647058824	0.782608695652174	0.894117647058824	0.742424242424242
chr1	128767142	128767142	13.3558246921596	0.270956218326826	+	0	0.888888888888889	0	0.933333333333333	0.933333333333333	0
chr1	128786913	128786976	35.5196659032506	0.470216831436404	-	1	0.927272727272727	1	0.892857142857143	1	0.892857142857143
chr1	129651507	129651509	20.8595422886442	0.35881033480103	-	0	0.934426229508197	0	1	1	0
chr1	130440107	130440236	32.1646516019578	0.448035224723768	-	0.08	0	0	0	0.08	0
chr1	130440708	130440708	5.67786539115471	0.101063387887347	-	0	0	0	0	0	0
chr1	130462699	130462754	190.759856875067	0.823294840907203	-	1	0.970873786407767	0.958715596330275	0.941666666666667	1	0.941666666666667
chr1	131153193	131153248	68.4331666842144	0.627481930713633	+	0.78125	0.909090909090909	0.859649122807018	0.794871794871795	0.909090909090909	0.78125
chr1	131200084	131200210	390.945030545231	0.904876630389632	-	0.841191066997519	0.864161849710983	0.815602836879433	0.810699588477366	0.864161849710983	0.810699588477366
chr1	131206043	131206043	10.7485198669907	0.233239179197474	+	0	0.285714285714286	0	0.0833333333333333	0.285714285714286	0
chr1	131279521	131279605	152.076246874608	0.788319348674919	-	0.7890625	0.718181818181818	0.780821917808219	0.766666666666667	0.7890625	0.718181818181818
chr1	13142327	13142327	5.35541996413883	0.0649663537426269	-	0	0	0	0	0	0
chr1	131638265	131638289	47.1997144883789	0.537177037467808	+	0.818181818181818	0.923076923076923	1	0.954545454545455	1	0.818181818181818
chr1	131638359	131638398	21.5023388248376	0.364293428595165	+	1	0.882352941176471	0.91304347826087	0.85	1	0.85
chr1	131867260	131867266	38.0051757167419	0.486998421533605	+	1	0.892857142857143	0.96875	0.85	1	0.85
chr1	132007611	132007665	157.8497610599	0.794300905541248	+	0.383333333333333	0.264705882352941	0.358333333333333	0.258064516129032	0.383333333333333	0.258064516129032
chr1	132024232	132024242	11.2645916975914	0.240093046440143	+	0	0	0	0	0	0
chr1	132342038	132342056	10.18763012779	0.225056077095622	+	0	0.714285714285714	0.733333333333333	0.846153846153846	0.846153846153846	0
chr1	132477348	132477456	111.404332002083	0.732408407410484	+	0.92896174863388	0.897435897435897	0.783333333333333	0.780487804878049	0.92896174863388	0.780487804878049
chr1	133003887	133003887	5.56726911284263	0.0839079504860015	-	0	0	0	0	0	0
