cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
3031	chr12	57230433	57230434	+	4.18018489966983	1	57230434	4.18018489966983
679	chr3	89187915	89187916	+	4.18018489966983	1	89187916	4.18018489966983
4147	chr19	8825313	8825314	+	4.60676578179308	1	8825314	4.60676578179308
4204	chr19	53909273	53909274	+	4.60676578179308	1	53909274	4.60676578179308
3046	chr12	80109919	80109920	+	4.60676578179308	1	80109920	4.60676578179308
473	chr2	9878589	9878590	-	4.60676578179308	1	9878590	4.60676578179308
463	chr2	180967238	180967239	+	4.60676578179308	1	180967239	4.60676578179308
939	chr4	130913315	130913316	+	4.60676578179308	1	130913316	4.60676578179308
2488	chr10	77542401	77542402	+	5.03003787226332	1	77542402	5.03003787226332
577	chr2	125782750	125782751	-	5.03003787226332	1	125782751	5.03003787226332
4021	chr18	23954676	23954677	+	5.45032514591144	1	23954677	5.45032514591144
100	chr1	161070970	161070971	+	5.86789545351332	1	161070971	5.86789545351332
2248	chr9	56090022	56090023	+	5.86789545351332	1	56090023	5.86789545351332
401	chr2	122738529	122738535	+	6.18078954573189	2	122738530	3.74989571422072
2388	chr9	70503739	70503740	-	6.28297382816333	1	70503740	6.28297382816333
2048	chr8	95633508	95633509	+	6.28297382816333	1	95633509	6.28297382816333
2110	chr8	34146794	34146795	-	6.6957519076098	1	34146795	6.6957519076098
471	chr2	5714477	5714519	-	7.03765961330425	2	5714478	4.60676578179308
3230	chr13	104287940	104287941	+	7.51504614556735	1	104287941	7.51504614556735
2835	chr11	20112886	20112899	-	7.9060603150126	2	20112887	5.03003787226332
4347	chrX	75382423	75382424	+	7.92183208815659	1	75382424	7.92183208815659
2649	chr10	128549114	128549115	-	7.92183208815659	1	128549115	7.92183208815659
437	chr2	163995161	163995203	+	7.92215949744311	2	163995162	4.60676578179308
4289	chr19	44146424	44146425	-	8.73024181196212	1	44146425	8.73024181196212
908	chr4	115737773	115737774	+	8.73024181196212	1	115737774	8.73024181196212
4435	chrX	77795920	77795942	-	8.76571886156147	2	77795942	5.45032514591144
149	chr1	24679129	24679130	-	9.13205402402997	1	24679130	9.13205402402997
3672	chr16	31664147	31664148	+	9.53238107345103	1	31664148	9.53238107345103
3485	chr15	76904590	76904591	+	9.53238107345103	1	76904591	9.53238107345103
4057	chr18	60803848	60803849	+	9.53238107345103	1	60803849	9.53238107345103
1746	chr7	80860944	80860954	+	9.61779116773404	2	80860945	5.86789545351332
1437	chr6	71543924	71543931	+	9.94593997707852	2	71543925	7.51504614556735
1847	chr7	28766477	28766481	-	10.421788506584	2	28766478	7.10639479093399
2081	chr8	124863061	124863064	+	10.4746612353064	2	124863062	5.86789545351332
2766	chr11	87583838	87583852	+	10.7978545309059	2	87583839	7.92183208815659
